County,TIME,Mean_Temperature
Alameda,1981-01,9.869528918
Alameda,1981-02,11.72399246
Alameda,1981-03,11.61595994
Alameda,1981-04,14.03670795
Alameda,1981-05,16.33311464
Alameda,1981-06,21.70465945
Alameda,1981-07,20.43708221
Alameda,1981-08,20.3703343
Alameda,1981-09,19.91270013
Alameda,1981-10,15.73983813
Alameda,1981-11,13.83209009
Alameda,1981-12,10.86900058
Alameda,1982-01,7.268097897
Alameda,1982-02,11.19171602
Alameda,1982-03,10.33356958
Alameda,1982-04,12.71868352
Alameda,1982-05,16.05708209
Alameda,1982-06,16.49482186
Alameda,1982-07,19.27943986
Alameda,1982-08,20.14167575
Alameda,1982-09,19.70159439
Alameda,1982-10,16.96551292
Alameda,1982-11,11.13830949
Alameda,1982-12,9.473789048
Alameda,1983-01,8.851845931
Alameda,1983-02,11.23622821
Alameda,1983-03,11.70854531
Alameda,1983-04,12.21091113
Alameda,1983-05,15.71181369
Alameda,1983-06,18.33850488
Alameda,1983-07,19.61957806
Alameda,1983-08,21.24665952
Alameda,1983-09,21.76906606
Alameda,1983-10,18.33191953
Alameda,1983-11,12.3695534
Alameda,1983-12,10.62984607
Alameda,1984-01,9.911797272
Alameda,1984-02,10.42478099
Alameda,1984-03,13.53391119
Alameda,1984-04,12.72118762
Alameda,1984-05,17.45740734
Alameda,1984-06,18.24362688
Alameda,1984-07,21.98478154
Alameda,1984-08,20.96382216
Alameda,1984-09,22.80759452
Alameda,1984-10,15.78200074
Alameda,1984-11,11.52606564
Alameda,1984-12,8.215138594
Alameda,1985-01,7.806114177
Alameda,1985-02,11.15188675
Alameda,1985-03,10.1462769
Alameda,1985-04,15.40044782
Alameda,1985-05,15.01575682
Alameda,1985-06,20.25026928
Alameda,1985-07,21.64317992
Alameda,1985-08,19.62218789
Alameda,1985-09,18.33275695
Alameda,1985-10,16.52622038
Alameda,1985-11,10.76250453
Alameda,1985-12,8.14630931
Alameda,1986-01,11.45521191
Alameda,1986-02,12.2139518
Alameda,1986-03,14.0987974
Alameda,1986-04,13.89963483
Alameda,1986-05,15.79321217
Alameda,1986-06,18.87813908
Alameda,1986-07,19.80414722
Alameda,1986-08,20.31461894
Alameda,1986-09,17.37971624
Alameda,1986-10,17.3221065
Alameda,1986-11,13.71241532
Alameda,1986-12,9.045309381
Alameda,1987-01,8.39503289
Alameda,1987-02,10.71822003
Alameda,1987-03,11.7885941
Alameda,1987-04,15.98451295
Alameda,1987-05,17.26443982
Alameda,1987-06,18.70463506
Alameda,1987-07,18.50019601
Alameda,1987-08,20.36901724
Alameda,1987-09,20.04984649
Alameda,1987-10,18.5739765
Alameda,1987-11,12.73420388
Alameda,1987-12,9.016350027
Alameda,1988-01,9.393667128
Alameda,1988-02,12.36069979
Alameda,1988-03,13.30184619
Alameda,1988-04,14.49628529
Alameda,1988-05,15.40093567
Alameda,1988-06,18.53994388
Alameda,1988-07,22.28353762
Alameda,1988-08,20.80447265
Alameda,1988-09,19.91347245
Alameda,1988-10,17.73057801
Alameda,1988-11,12.61240711
Alameda,1988-12,9.531447566
Alameda,1989-01,8.220236146
Alameda,1989-02,8.389764631
Alameda,1989-03,11.99716319
Alameda,1989-04,15.69079753
Alameda,1989-05,15.93071626
Alameda,1989-06,18.58789517
Alameda,1989-07,20.19469201
Alameda,1989-08,19.89896841
Alameda,1989-09,18.72669198
Alameda,1989-10,16.71351292
Alameda,1989-11,13.75859418
Alameda,1989-12,9.486358212
Alameda,1990-01,9.294447585
Alameda,1990-02,8.556171115
Alameda,1990-03,12.10609818
Alameda,1990-04,15.15584628
Alameda,1990-05,15.64721203
Alameda,1990-06,18.54487081
Alameda,1990-07,20.88477338
Alameda,1990-08,20.82934243
Alameda,1990-09,20.26444001
Alameda,1990-10,18.39430986
