County,TIME,Mean_Precipitation
Alameda,1981-01,127.6079512
Alameda,1981-02,31.54760978
Alameda,1981-03,98.3166101
Alameda,1981-04,12.32395935
Alameda,1981-05,7.356707312
Alameda,1981-06,7.32E-05
Alameda,1981-07,0
Alameda,1981-08,0
Alameda,1981-09,1.631227636
Alameda,1981-10,68.06785366
Alameda,1981-11,124.2128212
Alameda,1981-12,93.71548753
Alameda,1982-01,163.3679512
Alameda,1982-02,87.36926859
Alameda,1982-03,141.12613
Alameda,1982-04,104.2573089
Alameda,1982-05,0
Alameda,1982-06,5.214634141
Alameda,1982-07,0.835617891
Alameda,1982-08,0.192235773
Alameda,1982-09,30.85513808
Alameda,1982-10,63.74540658
Alameda,1982-11,121.2185691
Alameda,1982-12,100.6747072
Alameda,1983-01,185.5993652
Alameda,1983-02,151.4296502
Alameda,1983-03,231.235553
Alameda,1983-04,103.9448289
Alameda,1983-05,19.89834147
Alameda,1983-06,0
Alameda,1983-07,0.330878046
Alameda,1983-08,4.896991878
Alameda,1983-09,7.932447144
Alameda,1983-10,22.85424388
Alameda,1983-11,196.5578049
Alameda,1983-12,130.7445373
Alameda,1984-01,7.804455294
Alameda,1984-02,61.29822764
Alameda,1984-03,38.20552039
Alameda,1984-04,22.63733323
Alameda,1984-05,2.237203259
Alameda,1984-06,5.080495907
Alameda,1984-07,0
Alameda,1984-08,0.646495938
Alameda,1984-09,1.630065028
Alameda,1984-10,58.47523576
Alameda,1984-11,146.4217318
Alameda,1984-12,47.26560155
Alameda,1985-01,20.13703256
Alameda,1985-02,43.74689426
Alameda,1985-03,91.37150363
Alameda,1985-04,5.326723555
Alameda,1985-05,4.147162603
Alameda,1985-06,4.696187001
Alameda,1985-07,0.944666668
Alameda,1985-08,0.24017886
Alameda,1985-09,10.61409761
Alameda,1985-10,25.33082939
Alameda,1985-11,78.91283755
Alameda,1985-12,55.89865872
Alameda,1986-01,65.59435761
Alameda,1986-02,227.6951939
Alameda,1986-03,120.0790977
Alameda,1986-04,17.06115444
Alameda,1986-05,7.974170696
Alameda,1986-06,0.004317073
Alameda,1986-07,0.336601626
Alameda,1986-08,0
